Date,Open,High,Low,Close,Volume,return_1d,ma_5,ma_20,volatility_5,momentum_5,target
2025-05-22,576.0563267018498,579.971467292194,574.8204937262445,576.4815063476562,70860400,0.0003946470773714683,582.888037109375,565.7233093261718,0.008746735859030911,-7.28643798828125,0
2025-05-23,569.4520392436427,575.2159811048424,569.0763411937487,572.5465698242188,76029000,-0.006825781018315102,579.9042358398438,567.1306762695312,0.007290981404082109,-14.91900634765625,1
2025-05-27,579.4277528567243,584.6083553931982,571.8743267058999,584.4501953125,72588500,0.020790667721467315,579.1726440429687,569.1228424072266,0.013850989234287204,-3.657958984375,0
2025-05-28,584.8554566278126,586.0517646206928,580.3372442209068,581.06884765625,68445500,-0.005785518908830278,578.1602416992188,570.7744079589844,0.013988560969323341,-5.06201171875,1
2025-05-29,586.3385054465637,586.4769332279744,579.4277368161022,583.3626098632812,69973300,0.003947487834330188,579.5819458007812,572.52978515625,0.011143340840759536,7.1085205078125,0
2025-05-30,582.2552747565533,584.430352826958,576.6297607292682,582.7100830078125,90601200,-0.0011185613277848727,580.8276611328125,574.0582641601562,0.011235131405797905,6.22857666015625,1
2025-06-02,581.0985213264464,586.0714814983527,578.4291102147669,585.992431640625,61630500,0.005632901726823958,583.5168334960938,575.3410583496094,0.010051712696396509,13.44586181640625,1
2025-06-03,585.6266079138771,590.3128764026674,585.1421107506463,589.3341064453125,63606200,0.0057025903821517065,584.4936157226563,576.9515930175781,0.005012833419393227,4.8839111328125,0
2025-06-04,590.1942585782981,591.173028564345,588.7408877328025,589.1759033203125,57314200,-0.0002684438644731113,586.1150268554687,578.7870513916016,0.003260958364840285,8.1070556640625,0
2025-06-05,590.8566609128592,592.2111289512687,584.3512195951713,586.3285522460938,92278700,-0.0048327690561892345,586.7082153320313,580.3639709472657,0.00457421860506821,2.9659423828125,1
2025-06-06,591.8749474768216,594.0203968199735,590.0953601848463,592.3495483398438,66588700,0.010268979858962801,588.6361083984375,582.0486572265625,0.005887641151110142,9.63946533203125,1
2025-06-09,592.9230088207169,594.4356974397457,591.7069684086109,592.8834838867188,53016400,0.0009013859272306579,590.0143188476562,583.7956298828125,0.005798640186310114,6.89105224609375,1
2025-06-10,593.4173023897237,596.6304681071312,592.3001649023746,596.2449340820312,66247000,0.00566966408521985,591.396484375,584.7887420654297,0.005793903885788291,6.91082763671875,0
2025-06-11,597.3423765043648,598.2025114763902,592.4781545343917,594.54443359375,73658200,-0.0028520166647609813,592.4701904296875,585.5065155029297,0.006187396291826668,5.3685302734375,1
2025-06-12,593.2097458920864,596.9073486328125,592.725309003214,596.9073486328125,64129000,0.003974328755850465,594.5859497070312,586.3053588867188,0.004944938754244116,10.57879638671875,0
2025-06-13,591.7168252456129,595.0288334634262,588.731033484191,590.2338256835938,89506000,-0.011180165505591644,594.1628051757813,586.6286529541015,0.006697973885515768,-2.11572265625,1
2025-06-16,593.5952983788304,597.5993850121447,593.4172853343232,595.8494262695312,79984100,0.00951419647871532,594.7559936523437,587.0478454589844,0.00815989007989229,2.9659423828125,0
2025-06-17,593.4074309844862,594.9299553868199,589.9965201271316,590.7578125,82209400,-0.008545134970438073,593.6585693359375,587.1803283691406,0.008601503175081463,-5.48712158203125,0
2025-06-18,591.6574895866379,594.4059506456396,589.7097855095001,590.6688232421875,76605000,-0.00015063576973428638,592.883447265625,587.4072265625,0.00860513717700845,-3.8756103515625,0
2025-06-20,593.3471074282096,594.4180406328666,587.8735160730708,589.2816162109375,94051400,-0.002348536060589046,591.35830078125,588.0586029052735,0.008089552791581063,-7.625732421875,1
2025-06-23,590.0351674928282,595.4889076465048,586.9116980815279,595.1022338867188,87426000,0.009877480504495662,592.331982421875,588.9896392822266,0.007948372197905293,4.868408203125,1
2025-06-24,599.2470472798032,602.737399696003,598.3347417480489,601.6764526367188,67735300,0.011047208993087754,593.4973876953125,590.4461334228515,0.008346237170613667,5.8270263671875,1
2025-06-25,602.7969444947229,603.4910690166892,600.4468830082857,602.0136108398438,62114800,0.0005603646306042709,595.7485473632812,591.3243041992188,0.0061920316457973155,11.25579833984375,1
2025-06-26,603.8679120398481,607.1599955272326,603.2531315625092,606.7236938476562,78548400,0.007823881259497956,598.959521484375,592.607046508789,0.005942969993786592,16.05487060546875,1
2025-06-27,607.7252035075089,611.2056913389495,605.692457719191,609.7380981445312,86258400,0.0049683312642012645,603.0508178710937,593.9258209228516,0.00420804847469508,20.45648193359375,1
2025-06-30,612.1873634601734,614.0118537505704,609.867018033134,612.6533813476562,92502500,0.004781205589738269,606.5610473632812,595.4229858398437,0.003898914583208203,17.5511474609375,0
2025-07-01,611.1758893553448,613.625146088841,610.3429883405835,612.455078125,70030100,-0.0003236793082248557,608.7167724609375,596.7461181640625,0.0033814264866995516,10.77862548828125,1
2025-07-02,612.0484833566157,615.2711481262035,611.4237773441516,615.2315063476562,66510400,0.0045332765158159205,611.3603515625,598.0409881591797,0.0029373786516678204,13.2178955078125,1
2025-07-03,617.214676143094,621.0124795190609,617.194824993195,620.0803833007812,51065800,0.007881385954874975,614.031689453125,599.5862121582031,0.0029544114624533557,13.356689453125,0
2025-07-07,618.1170465947881,618.7814549531971,612.6732314169623,615.4595947265625,74814500,-0.007451918652258582,615.1759887695313,601.0427642822266,0.005987786101163745,5.72149658203125,0
2025-07-08,616.1238907210633,616.8775081543645,614.3093261623386,615.1224365234375,59024600,-0.0005478153334741442,615.6697998046875,602.1814086914062,0.005814962126002324,2.46905517578125,1
2025-07-09,617.5319680301938,619.4655183729625,615.6875662931247,618.8110961914062,66113300,0.005996626767211355,616.9410034179688,603.4777893066406,0.00618015917694393,6.35601806640625,1
2025-07-10,618.9499658515675,621.5974919629854,617.7699723301522,620.5563354492188,57529000,0.0028203102183428364,618.0059692382813,604.693359375,0.006056567306683308,5.3248291015625,0
2025-07-11,617.5022136064131,619.6043777491163,616.3024294765994,618.3748168945312,63670200,-0.0035154238705955576,617.6648559570312,605.884878540039,0.005259443919485455,-1.70556640625,1
2025-07-14,617.9186024028506,619.901780492049,616.5700558274259,619.5547485351562,51898500,0.0019081172266208757,618.48388671875,607.0172485351562,0.0035824902111712283,4.09515380859375,0
2025-07-15,622.2420420602726,622.5791484786782,616.8279435196437,616.9072875976562,74317300,-0.00427316705062708,618.8408569335937,608.3509216308594,0.00437173283619172,1.78485107421875,1
2025-07-16,618.4937831556223,619.4754466932056,612.8516386863737,618.9697265625,88987500,0.0033431911185151097,618.8725830078125,609.5069366455078,0.003652879981480236,0.15863037109375,1
2025-07-17,619.1482301954767,623.1145864157634,618.9300491320286,622.757568359375,68885700,0.006119591369857513,619.3128295898438,611.1069244384765,0.00448103813622503,2.20123291015625,0
2025-07-18,624.007017899032,624.175571102461,621.1909387049365,622.301513671875,65621600,-0.0007323149660010131,620.0981689453125,612.6885589599609,0.0039673596413906465,3.92669677734375,1
2025-07-21,623.4815063476562,626.2281670376054,623.0551302914085,623.4815063476562,63375000,0.001896175165666536,620.8835205078125,614.3985534667969,0.003966885332499604,3.9267578125,1
2025-07-22,623.8087114591411,624.4334174667899,620.9232136557434,623.5707397460938,60046300,0.0001431211632245688,622.2162109375,615.8219787597657,0.0027194214385711703,6.6634521484375,1
2025-07-23,626.2381323551606,628.8757934570312,624.4334327911965,628.8757934570312,70511000,0.008507541122114937,624.1974243164062,617.1819458007812,0.003974943607972599,9.90606689453125,1
2025-07-24,629.2624631630094,630.7994747941685,628.6576082944551,629.083984375,71307100,0.00033105252282705777,625.4627075195312,618.5354644775391,0.0037434463534662663,6.326416015625,1
2025-07-25,629.748350781943,632.2173979677802,629.5004535059064,631.7413940429688,56865400,0.004224252618048929,627.35068359375,619.7863494873047,0.0034761035532470006,9.43988037109375,0
2025-07-28,632.1181999979412,632.6734874729789,630.1945147233831,631.582763671875,54917100,-0.0002511001694515125,628.9709350585938,620.8785827636718,0.0037699462772308205,8.10125732421875,0
2025-07-29,632.9809077241022,633.2982235137306,629.0046860832861,629.9169311523438,60556300,-0.0026375522185667633,630.2401733398438,621.7417602539062,0.004377472178612295,6.34619140625,0
2025-07-30,630.5713386132512,632.3165451544952,626.2281734095909,629.1236572265625,80418900,-0.001259331011043141,630.28974609375,622.5751892089844,0.002575187922746228,0.24786376953125,0
2025-07-31,634.0816044685715,634.4682782312485,625.4646925404661,626.763671875,103385200,-0.0037512265266995692,629.82568359375,623.1517974853516,0.0030749226002107022,-2.3203125,0
