Date,Open,High,Low,Close,Volume,return_1d,ma_5,ma_20,volatility_5,momentum_5,target
2025-05-22,331.8999938964844,347.2699890136719,331.3900146484375,341.0400085449219,97113400,0.019185982671137136,342.31000366210935,309.1080032348633,0.022642021287338977,-1.779998779296875,0
2025-05-23,337.9200134277344,343.17999267578125,333.2099914550781,339.3399963378906,84654800,-0.004984788190348977,340.1820007324219,311.82750244140624,0.019119617821075303,-10.6400146484375,1
2025-05-27,347.3500061035156,363.7900085449219,347.32000732421875,362.8900146484375,120146400,0.06939947711644767,344.3420043945313,315.6780029296875,0.03600174359983842,20.800018310546875,0
2025-05-28,364.8399963378906,365.0,355.9100036621094,356.8999938964844,91404300,-0.016506435862546853,346.9580017089844,318.9215026855469,0.03831547847149941,13.079986572265625,1
2025-05-29,365.2900085449219,367.7099914550781,356.0,358.42999267578125,88087800,0.004286911755287504,351.7200012207031,322.7350021362305,0.03347022506004777,23.80999755859375,0
2025-05-30,355.5199890136719,363.67999267578125,345.2900085449219,346.4599914550781,123474900,-0.03339564619395741,352.8039978027344,326.0320022583008,0.03929554802782213,5.41998291015625,0
2025-06-02,343.5,348.0199890136719,333.3299865722656,342.69000244140625,81873800,-0.01088145559849063,353.4739990234375,328.8060028076172,0.0397099043315014,3.350006103515625,1
2025-06-03,346.6000061035156,355.3999938964844,343.0400085449219,344.2699890136719,99324500,0.004610541775392996,349.7499938964844,332.00650177001955,0.015869304082468894,-18.620025634765625,0
2025-06-04,345.1000061035156,345.6000061035156,327.3299865722656,332.04998779296875,98912100,-0.03549540073392177,344.7799926757813,334.8415008544922,0.019548522500099533,-24.850006103515625,0
2025-06-05,322.489990234375,324.54998779296875,273.2099914550781,284.70001220703125,287499800,-0.14259893789082123,330.03399658203125,335.26550140380857,0.057804305898245686,-73.72998046875,1
2025-06-06,298.8299865722656,305.5,291.1400146484375,295.1400146484375,164747700,0.036670186138995975,319.77000122070314,335.78150177001953,0.06840317931450693,-51.319976806640625,1
2025-06-09,285.9599914550781,309.8299865722656,281.8500061035156,308.5799865722656,140908900,0.04553761352840424,312.947998046875,336.29750061035156,0.076432573097688,-34.110015869140625,1
2025-06-10,314.94000244140625,327.8299865722656,310.6700134277344,326.0899963378906,151256500,0.05674382827003055,309.31199951171874,336.6830001831055,0.08355565367605518,-18.17999267578125,1
2025-06-11,334.3999938964844,335.5,322.5,326.42999267578125,122611400,0.0010426457165473302,308.18800048828126,336.3009994506836,0.08211642068824118,-5.6199951171875,0
2025-06-12,323.0799865722656,332.55999755859375,316.8599853515625,319.1099853515625,105127500,-0.022424432461661592,315.0699951171875,334.8724990844727,0.03308189691428751,34.40997314453125,1
2025-06-13,313.9700012207031,332.989990234375,313.29998779296875,325.30999755859375,128964300,0.019429076154419578,321.10399169921874,333.9969985961914,0.032255994454450314,30.16998291015625,1
2025-06-16,331.2900085449219,332.04998779296875,326.4100036621094,329.1300048828125,83925900,0.011742668079331553,325.2139953613281,332.9544982910156,0.028956150695560803,20.550018310546875,0
2025-06-17,326.0899963378906,327.260009765625,314.739990234375,316.3500061035156,88282700,-0.03882963749794621,323.2659973144531,331.66749877929686,0.024281688987623642,-9.739990234375,1
2025-06-18,317.30999755859375,329.32000732421875,315.45001220703125,322.04998779296875,95137700,0.0180179597897272,322.38999633789064,330.57899780273436,0.026558954531293078,-4.3800048828125,1
2025-06-20,327.95001220703125,332.3599853515625,317.7799987792969,322.1600036621094,108688000,0.0003416111576173275,323.0,329.9559982299805,0.024109014881253048,3.050018310546875,1
